date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:46	10279/10279	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Nov%202022%2017:40:45%20GMT	https://static.wixstatic.com/media/51c67e_b5ea885770604af6a2c6db216182b3a4~mv2.png/v1/fill/w_82,h_106,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_b5ea885770604af6a2c6db216182b3a4~mv2.png	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_b5ea885770604af6a2c6db216182b3a4_mv2.png/v1/fill/w_82,h_106,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_b5ea885770604af6a2c6db216182b3a4_mv2.png	(from https://www.freak.pe/)
12:40:46	185069/185069	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b4dc154313c14eae63c61ae81b9d5842%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.42e41f7d.bundle.min.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.42e41f7d.bundle.min.js	(from https://www.freak.pe/tienda)
12:40:46	186300/186300	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c2096813a0cb8bead61dd1f0834c9572%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.88894cfb.bundle.min.js	C:/My%20Web%20Sites/proyecto_04/static.parastorage.com/services/wix-thunderbolt/dist/main.88894cfb.bundle.min.js	(from https://www.freak.pe/tienda)
12:40:47	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Nov%202022%2017:40:47%20GMT	https://www.freak.pe/version/	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/version/index.html	(from https://www.freak.pe/tienda)
12:40:48	3638/3638	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Nov%202022%2017:40:48%20GMT	https://static.wixstatic.com/media/51c67e_691365f9266646b2a11e67903e0018a2~mv2.png/v1/fill/w_49,h_47,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_691365f9266646b2a11e67903e0018a2~mv2.png	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_691365f9266646b2a11e67903e0018a2_mv2.png/v1/fill/w_49,h_47,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_691365f9266646b2a11e67903e0018a2_mv2.png	(from https://www.freak.pe/tienda)
12:40:48	1459535/1459535	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2017:40:47%20GMT	https://www.freak.pe/product-page/purple-fairy-skirt	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/product-page/purple-fairy-skirt.html	(from https://www.freak.pe/tienda)
12:40:49	3450/3450	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Nov%202022%2017:40:49%20GMT	https://static.wixstatic.com/media/51c67e_6334b973aae547269976e015360b3e8c~mv2.png/v1/fill/w_49,h_44,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_6334b973aae547269976e015360b3e8c~mv2.png	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_6334b973aae547269976e015360b3e8c_mv2.png/v1/fill/w_49,h_44,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_6334b973aae547269976e015360b3e8c_mv2.png	(from https://www.freak.pe/tienda)
12:40:50	1458199/1458199	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2017:40:49%20GMT	https://www.freak.pe/product-page/mary-jane-cap	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/product-page/mary-jane-cap.html	(from https://www.freak.pe/tienda)
12:40:50	3915/3915	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202022%2017:40:50%20GMT	https://static.wixstatic.com/media/51c67e_0ea9c22163cb4a74b506a6f3b5e7e055~mv2.jpg/v1/fill/w_147,h_149,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_0ea9c22163cb4a74b506a6f3b5e7e055~mv2.jpg	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_0ea9c22163cb4a74b506a6f3b5e7e055_mv2.jpg/v1/fill/w_147,h_149,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_0ea9c22163cb4a74b506a6f3b5e7e055_mv2.jpg	(from https://www.freak.pe/tienda)
12:40:50	1467547/1467547	---MCZ	200	added ('OK')	text/html	etag:W/%2214757dd1f42da7206b2436aaa5bb93fc%22	https://www.freak.pe/product-page/onyx-mesh-tee	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/product-page/onyx-mesh-tee.html	(from https://www.freak.pe/tienda)
12:40:50	3893/3893	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Nov%202022%2017:40:50%20GMT	https://static.wixstatic.com/media/51c67e_cd2f2ab6d73840c592eb261d4cc3835e~mv2.png/v1/fill/w_49,h_44,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_cd2f2ab6d73840c592eb261d4cc3835e~mv2.png	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_cd2f2ab6d73840c592eb261d4cc3835e_mv2.png/v1/fill/w_49,h_44,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_cd2f2ab6d73840c592eb261d4cc3835e_mv2.png	(from https://www.freak.pe/tienda)
12:40:51	3002/3002	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202022%2017:40:51%20GMT	https://static.wixstatic.com/media/51c67e_8636cb9ba8184952a065f9bcc32e160f~mv2.jpg/v1/fill/w_147,h_131,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_8636cb9ba8184952a065f9bcc32e160f~mv2.jpg	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_8636cb9ba8184952a065f9bcc32e160f_mv2.jpg/v1/fill/w_147,h_131,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_8636cb9ba8184952a065f9bcc32e160f_mv2.jpg	(from https://www.freak.pe/tienda)
12:40:51	1459274/1459274	---MCZ	200	added ('OK')	text/html	etag:W/%22d4b49b9bf5ba915d204423e8334d3ee6%22	https://www.freak.pe/product-page/purple-fairy-set	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/product-page/purple-fairy-set.html	(from https://www.freak.pe/tienda)
12:40:52	3988/3988	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Nov%202022%2017:40:51%20GMT	https://static.wixstatic.com/media/51c67e_41090ce63d9d456182e6830f0a7d2638~mv2.png/v1/fill/w_49,h_44,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_41090ce63d9d456182e6830f0a7d2638~mv2.png	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_41090ce63d9d456182e6830f0a7d2638_mv2.png/v1/fill/w_49,h_44,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_41090ce63d9d456182e6830f0a7d2638_mv2.png	(from https://www.freak.pe/tienda)
12:40:52	2741/2741	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202022%2017:40:52%20GMT	https://static.wixstatic.com/media/51c67e_1cc078001b304289ab31f71bb66dc237~mv2.jpg/v1/fill/w_147,h_184,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_1cc078001b304289ab31f71bb66dc237~mv2.jpg	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_1cc078001b304289ab31f71bb66dc237_mv2.jpg/v1/fill/w_147,h_184,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_1cc078001b304289ab31f71bb66dc237_mv2.jpg	(from https://www.freak.pe/tienda)
12:40:52	3046/3046	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202022%2017:40:52%20GMT	https://static.wixstatic.com/media/51c67e_ff38b31df09a436fa0ca4bd8c14d1406~mv2.jpg/v1/fill/w_147,h_174,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_ff38b31df09a436fa0ca4bd8c14d1406~mv2.jpg	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_ff38b31df09a436fa0ca4bd8c14d1406_mv2.jpg/v1/fill/w_147,h_174,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_ff38b31df09a436fa0ca4bd8c14d1406_mv2.jpg	(from https://www.freak.pe/tienda)
12:40:54	2603/2603	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202022%2017:40:54%20GMT	https://static.wixstatic.com/media/51c67e_887d3b074adc4ac2b486dfa75ae38d51~mv2.jpg/v1/fill/w_147,h_137,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_887d3b074adc4ac2b486dfa75ae38d51~mv2.jpg	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_887d3b074adc4ac2b486dfa75ae38d51_mv2.jpg/v1/fill/w_147,h_137,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_887d3b074adc4ac2b486dfa75ae38d51_mv2.jpg	(from https://www.freak.pe/tienda)
12:40:54	1456659/1456659	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2017:40:53%20GMT	https://www.freak.pe/product-page/pink-star-crop-top	C:/My%20Web%20Sites/proyecto_04/www.freak.pe/product-page/pink-star-crop-top.html	(from https://www.freak.pe/tienda)
12:40:54	8995/8995	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Nov%202022%2017:40:54%20GMT	https://static.wixstatic.com/media/51c67e_50958894a7cf4a54a66c5471e3d46029~mv2.png/v1/fill/w_49,h_65,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_50958894a7cf4a54a66c5471e3d46029~mv2.png	C:/My%20Web%20Sites/proyecto_04/static.wixstatic.com/media/51c67e_50958894a7cf4a54a66c5471e3d46029_mv2.png/v1/fill/w_49,h_65,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/51c67e_50958894a7cf4a54a66c5471e3d46029_mv2.png	(from https://www.freak.pe/tienda)
